year,mean_r
1970,0.397762
1971,0.376813
1972,0.384928
1973,0.378007
1974,0.383264
1975,0.394472
1976,0.388900
1977,0.394856
1978,0.410053
1979,0.400591
1980,0.406271
1981,0.428870
1982,0.420103
1983,0.414217
1984,0.404894
1985,0.391046
1986,0.401356
1987,0.392601
1988,0.423503
1989,0.430395
1990,0.437801
1991,0.451449
1992,0.462162
1993,0.497770
1994,0.498595
1995,0.502805
1996,0.504126
1997,0.502362
1998,0.516057
1999,0.531034
2000,0.542373
2001,0.545770
2002,0.544467
2003,0.545984
2004,0.550876
2005,0.557836
2006,0.556818
2007,0.563196
2008,0.549132
2009,0.539933
2010,0.536021
2011,0.540500
2012,0.534807
2013,0.512900
2014,0.521607
2015,0.519115
2016,0.529341
2017,0.522687
2018,0.503331
2019,0.477747
2020,0.449039
